ID,Legume
big.craspy,0
bristle.tip,0
cf.Apocynophyllum,0
cf.Artocarpus,0
cf.Rhus,0
cf.Salix,0
Populus.wyomingiana,0
grouchy,0
Egads,0
Hartley,0
Hero,0
Jay,0
Lauroid,0
leaf.mat,0
LNL,1
Machaerium,1
Triprime,0
mimsi,1
NML,1
NOT.Cercidiphyllum,0
Oppy,0
Plain.Phat,1
Slim,0
string.vein,0
tiny.toothy,0
